method,size_gib,ran,peak_gpu_mib,throughput_mibps,time_per_iter_s,inertia,iters
eternia,8,ran,3614,227.5,36.001,24644268.2,1
eternia,16,ran,3614,233.5,70.157,49281021.5,1
eternia,32,ran,3614,240.7,136.132,98574184.7,1
eternia,48,ran,3614,233.3,210.672,147863455.3,1
eternia,64,ran,3614,231.9,282.590,197153798.3,1
eternia,96,ran,3614,233.5,421.029,295725616.4,1
traditional_incore,8,ran,8622,2162.6,3.788,24654915.4,1
traditional_incore,16,ran,16814,2156.0,7.599,49302317.0,1
traditional_incore,32,ran,33198,2169.1,15.107,98616773.0,1
traditional_incore,48,OOM,-1,0.0,-1.000,0.0,1
traditional_incore,64,OOM,-1,0.0,-1.000,0.0,1
traditional_incore,96,OOM,-1,0.0,-1.000,0.0,1
staged,8,ran,3618,611.1,13.405,24654915.4,1
staged,16,ran,3618,606.3,27.025,49302317.0,1
staged,32,ran,3618,611.8,53.559,98616773.0,1
staged,48,ran,3618,612.1,80.301,147927338.8,1
staged,64,ran,3618,612.5,107.004,197238977.2,1
staged,96,ran,3618,612.0,160.632,295853385.3,1
uvm,8,ran,11806,2102.0,3.897,24654915.4,1
uvm,16,ran,20000,2124.1,7.713,49302317.0,1
uvm,32,ran,36386,2131.1,15.376,98616773.0,1
uvm,48,OVERSUB_IMPRACTICAL,-1,0.0,-1.000,0.0,1
uvm,64,OVERSUB_IMPRACTICAL,-1,0.0,-1.000,0.0,1
uvm,96,OVERSUB_IMPRACTICAL,-1,0.0,-1.000,0.0,1
