data,lib,preset,A_mib,nodes,H,epochs,base_status,base_final_acc,base_final_vacc,eternia_final_acc,eternia_final_vacc,stored_mib,ratio,peak_gpu_mib,store_s,base_epoch_s,eternia_epoch_s,bit_exact
/u/rpawar/gnnbench/data/arxiv,zstd,balanced,82,167936,64,30,OK,0.188954,0.188769,0.188954,0.188769,76,1.06667,1,0.222511,0.149621,0.30911,BIT-EXACT
/tmp/gnn/data/papers100M,zstd,balanced,54208,111017984,64,3,OOM,-1,-1,0.0208873,0.0198598,50257,1.07861,64,188.42,-1,281.277,n/a(OOM)
/tmp/gnn/data/papers100M,zstd,balanced,54208,111017984,64,30,OOM,-1,-1,0.0626462,0.0622677,50257,1.07861,64,158.624,-1,278.374,n/a(OOM)
/tmp/gnn/data/papers100M,cuszp,balanced,54208,111017984,64,30,OOM,-1,-1,0.0626462,0.0622677,17342,3.12581,64,88.8244,-1,272.18,n/a(OOM)
/tmp/gnn/data/papers100M,cuszp,best,54208,111017984,64,30,OOM,-1,-1,0.0626462,0.0622677,23164,2.34016,64,95.4796,-1,272.331,n/a(OOM)
/u/rpawar/gnnbench/data/arxiv,zstd,balanced,96,196608,64,30,OK,0.188185,0.188657,0.188185,0.188657,89,1.07775,32,0.276521,0.139354,0.525518,BIT-EXACT
/u/rpawar/gnnbench/data/arxiv,zstd,balanced,84,172032,64,30,OK,0.585898,0.588618,0.585898,0.588618,78,1.0759,2,0.213424,0.115718,0.384271,BIT-EXACT
/u/rpawar/gnnbench/data/arxiv,zstd,balanced,84,172032,64,5,OK,0.34905,0.348602,0.34905,0.348602,78,1.0759,2,0.213916,0.124083,0.384928,BIT-EXACT
/u/rpawar/gnnbench/data/arxiv,zstd,balanced,88,180224,64,30,OK,0.451505,0.451948,0.451505,0.451948,81,1.07738,8,0.233293,0.107115,0.387495,BIT-EXACT
/tmp/gnn/data/papers100M,zstd,balanced,54208,111017984,64,10,OOM,-1,-1,0.578578,0.578886,50257,1.07861,64,190.13,-1,358.517,n/a(OOM)
/tmp/gnn/data/papers100M,zstd,balanced,54208,111017984,64,30,OOM,-1,-1,0.611316,0.611814,50257,1.07861,64,185.98,-1,357.735,n/a(OOM)
