date,git_sha,crate,loc,unsafe_count,clippy_warnings,cold_build_s,warm_build_s,tests_passed
2026-07-16,4580d0b4,ctp-coroutine,554,8,0,2.25,0.24,3
2026-07-16,4580d0b4,ctp-ffi,291,27,0,2.2,0.74,2
2026-07-16,4580d0b4,ctp-gpu,623,20,0,0.67,0.3,2
2026-07-16,4580d0b4,ctp-introspect,462,27,0,1.11,0.36,5
2026-07-16,4580d0b4,ctp-types,169,0,0,0.1,0.19,2
2026-07-16,4580d0b4,cpp-baseline-clio_ctp_host,72012,,,83.17,,
2026-07-16,f739cfa1,ctp-coroutine,554,8,0,0.11,0.28,3
2026-07-16,f739cfa1,ctp-ffi,291,27,0,1.34,0.81,2
2026-07-16,f739cfa1,ctp-gpu,630,20,0,0.66,0.19,0
2026-07-16,f739cfa1,ctp-introspect,462,27,0,0.51,0.39,5
2026-07-16,f739cfa1,ctp-types,433,0,0,0.11,0.23,12
2026-07-16,f739cfa1,ctp-util,3592,1,0,0.65,0.64,132
2026-07-16,8aa53f2b,ctp-memory,1039,59,0,1.24,0.42,10
